message_id,text,label,category,source,date_collected,language
scam_353,"Fursa ya biashara! Uongeze TSH 1,600,000 upate TSH 16,000,000 baada ya wiki 16.",1,scam,manual_collection,2025-07-28,swahili
legit_470,Naomba uandike ripoti ya matokeo ya mkutano wa kijiji.,0,legitimate,manual_collection,2025-07-28,swahili
legit_362,Tafadhali hakikisha unahudhuria mkutano wa wagonjwa.,0,legitimate,manual_collection,2025-07-28,swahili
legit_468,Tuna mkutano wa kufundisha juu ya mbinu mpya za maendeleo ya kijiji.,0,legitimate,manual_collection,2025-07-28,swahili
scam_032,"JACKPOT! Umeshinda TSH 25,000,000. Malipo ya activation TSH 200,000 tu.",1,scam,manual_collection,2025-07-28,swahili
scam_449,"TCRA: Simu yako itafungwa. Tuma TSH 800,000 kwa renewal haraka.",1,scam,manual_collection,2025-07-28,swahili
scam_199,"M-Pesa imekupa bonus ya TSH 40,000,000. Piga *184*55# kuconfirm sasa.",1,scam,manual_collection,2025-07-28,swahili
scam_425,"Fursa ya biashara! Uongeze TSH 4,000,000 upate TSH 40,000,000 baada ya wiki 40.",1,scam,manual_collection,2025-07-28,swahili
scam_108,"Zawadi kubwa! Umeshinda nyumba ya TSH 300,000,000. Tuma TSH 3,000,000 kwa malipo ya usajili.",1,scam,manual_collection,2025-07-28,swahili
legit_198,Tafadhali hakikisha unahudhuria mkutano wa asubuhi.,0,legitimate,manual_collection,2025-07-28,swahili
legit_037,Baba amepata kazi mpya. Tumefurahi sana.,0,legitimate,manual_collection,2025-07-28,swahili
legit_159,Tafadhali hakikisha unakusanya data hii mapema.,0,legitimate,manual_collection,2025-07-28,swahili
scam_159,"Tigo Pesa bonus! TSH 11,000,000 zinasubiri. Piga *150*33# haraka.",1,scam,manual_collection,2025-07-28,swahili
scam_378,"FOREX TRADING! Weka TSH 1,400,000 upate TSH 14,000,000 kwa siku 168 tu.",1,scam,manual_collection,2025-07-28,swahili
legit_253,Mwalimu ametumwa taarifa za mkutano wa wazazi.,0,legitimate,manual_collection,2025-07-28,swahili
